14.1,0.46,8.45
3.7,0.46,14.9
7.1,0.47,13.6
9.3,0.47,13.2
7.1,0.48,16.1
1.2,0.48,14
11.7,0.49,11.7
26.2,0.49,18.8
33.6,0.5,33
51.1,0.5,44.6
4.1,0.54,27.6
2.7,0.55,21.8
0.2,0.56,17.5
0,0.56,14.7
0,0.56,13
3.6,0.56,11.7
0.1,0.56,11.6
16.5,0.56,11
0.2,0.55,16.3
0,0.55,11
0.2,0.49,9.5
0.5,0.48,9.15
0,0.48,8.65
0,0.47,8.25
0,0.47,7.7
0,0.47,7.4
0,0.48,7.05
0,0.48,6.8
0,0.49,6.5
3.6,0.49,6.25
0,0.5,6.4
0,0.53,6.15
0,0.54,5.75
0,0.55,5.35
0,0.57,5.05
0,0.58,4.89
0,0.59,4.69
3.6,0.6,4.35
1.9,0.61,4.14
5.6,0.63,4.14
1,0.64,4.14
0,0.64,4.14
5.8,0.66,4.16
0,0.67,5.45
0,0.69,5.4
11.3,0.71,9.55
10.2,0.73,14.5
0,0.75,11.4
0,0.77,8
0,0.8,6.75
0,0.82,6.25
6,0.87,6.8
6,0.89,8.05
0,0.91,8.85
0.2,0.94,6.7
0,0.96,6.1
0,0.99,5.9
0,1.01,5.85
0,1.03,5.75
0,1.05,5.4
0.6,1.08,5.3
0,1.1,5.4
1,1.12,5.15
0.9,1.14,5.1
2.1,1.17,5.25
10,1.19,5.3
13.8,1.21,10.5
0.4,1.23,11.3
4.2,1.25,7.3
0.6,1.26,7.3
0,1.28,6.75
0,1.31,6.15
0,1.33,5.55
1.4,1.35,5.5
18.6,1.38,8.75
0.4,1.41,12.5
6.5,1.43,9.05
0.1,1.46,10.1
3.7,1.49,8.65
0,1.54,9.35
0.9,1.57,8.85
0,1.6,7.9
0,1.62,7.5
0,1.65,6.95
0,1.67,6.5
0,1.7,6.4
0,1.72,5.95
0,1.74,5.65
0,1.76,5.25
0,1.78,5
0,1.76,4.88
4,1.78,5.05
5.2,1.8,6.05
9.9,1.83,7.5
0.4,1.86,8.3
6,1.89,6.5
0,1.92,6.95
0,1.95,5.45
0,1.99,4.95
0,2.02,4.6
0,2.09,4.31
1.2,2.13,4.24
0,2.17,4.17
0,2.2,4.07
0,2.24,3.91
0,2.28,3.74
0,2.32,3.52
0.9,2.35,3.38
3,2.39,3.74
0,2.43,4.22
0,2.5,4
0,2.53,3.71
0,2.57,3.45
3.4,2.6,3.3
0.3,2.63,3.64
2.5,2.65,3.92
0,2.68,4.37
0,2.7,3.66
3.3,2.72,3.51
14,2.73,3.98
1.4,2.69,7.15
0,2.71,9.1
9.1,2.72,11.1
1.8,2.74,12.5
0,2.76,13.1
2,2.79,11.6
3.3,2.81,11.8
0,2.83,13.4
0,2.86,11.9
0,2.89,11.3
0,2.96,11.1
0.7,2.99,11
0,3.02,6.4
1,3.04,2.71
0,3.06,2.72
0,3.09,2.5
0,3.11,2.5
0,3.13,2.5
0.3,3.15,2.5
0,3.16,2.5
0,3.14,2.5
0,3.15,2.36
0,3.17,2.2
0,3.19,2.14
0,3.2,2.09
0,3.22,1.84
0,3.24,1.71
0,3.26,1.75
0,3.29,1.71
0,3.31,1.67
0,3.33,1.7
0,3.43,1.76
0,3.45,1.72
0,3.47,1.67
5.8,3.48,1.55
1.2,3.49,1.53
6.5,3.5,1.73
0.2,3.5,1.95
0.3,3.5,2.71
5.4,3.49,1.77
0,3.49,1.55
0.3,3.38,1.49
0,3.37,1.45
2.1,3.36,1.4
0,3.36,1.36
0.2,3.36,1.31
0.4,3.36,1.28
0.3,3.36,1.28
0.2,3.37,1.42
6.5,3.38,1.37
4.2,3.39,1.95
2.7,3.46,2.79
0.1,3.47,2.47
1.2,3.48,1.57
0.3,3.5,1.46
2.8,3.51,1.53
11.8,3.52,1.59
0.2,3.53,1.63
0,3.55,1.52
0,3.56,1.34
0,3.57,1.15
0,3.62,1.17
8.8,3.63,1.33
0.2,3.63,1.51
0,3.64,1.37
7.2,3.63,1.42
8.5,3.63,1.54
5.4,3.62,3.47
0.6,3.61,3.77
0,3.6,2.99
0,3.58,1.89
0.2,3.47,1.4
0,3.45,1.35
7.3,3.44,1.25
0,3.43,1.79
1.1,3.42,1.47
0,3.42,1.41
0,3.42,1.25
1.3,3.42,1.16
0,3.42,1.28
0,3.43,1.23
0,3.58,1.15
0,3.59,1.04
1,3.59,1.05
3,3.59,1.08
0,3.59,1.18
0,3.58,1.18
0,3.57,1.08
0,3.55,1.05
0.2,3.53,0.95
1,3.51,0.93
0,3.48,0.94
0,3.34,1
0,3.31,0.99
3,3.28,0.91
0,3.25,0.87
0,3.23,0.91
0,3.21,0.91
3,3.19,0.94
0,3.17,1
0,3.15,0.97
0,3.13,0.93
0.2,3.15,0.93
0,3.14,0.93
0,3.12,0.93
0,3.11,0.93
0.1,3.1,0.93
0,3.08,0.96
0,3.07,0.93
0,3.06,0.93
0,3.04,0.88
0,3.03,0.86
0,3.06,0.86
3.5,3.05,0.86
1.5,3.03,0.88
0,3.01,0.91
0,2.98,0.93
0,2.95,0.92
0,2.92,0.91
0,2.89,0.91
0,2.86,0.89
0,2.82,0.88
0,2.78,0.88
0,2.67,0.86
0,2.63,0.85
0,2.59,0.85
0,2.55,0.83
0,2.51,0.82
0,2.47,0.82
0,2.44,0.81
0,2.4,0.8
0.2,2.36,0.73
0,2.33,0.73
0,2.31,0.73
0,2.28,0.73
0,2.24,0.73
0,2.21,0.73
1.1,2.17,0.73
0.7,2.14,0.69
0,2.1,0.6
0.2,2.07,0.6
0,2.03,0.6
0,2,0.6
1.7,1.96,0.6
2,1.92,0.6
1.5,1.88,0.6
13.2,1.85,0.63
9.7,1.81,0.95
0.2,1.78,0.94
13.2,1.74,0.79
1.2,1.71,1.58
6.2,1.67,1.58
1.5,1.63,1.25
0,1.58,1.07
0,1.55,0.97
0.5,1.51,0.92
0,1.48,0.91
3.1,1.45,0.91
0,1.42,0.89
1.4,1.39,0.88
3.8,1.36,0.88
1.7,1.34,0.87
10.4,1.31,0.92
1.4,1.32,1.08
4,1.29,1.14
9.6,1.26,2.96
11.3,1.24,3.03
0,1.21,2.2
1.4,1.18,1.66
2.5,1.15,1.49
8.5,1.12,1.49
0,1.09,1.44
14.1,1.05,1.69
5.8,0.97,3.83
0,0.93,2.2
0,0.9,1.59
0,0.87,1.39
0,0.85,1.32
0,0.82,1.26
2.1,0.8,1.2
1.7,0.78,1.2
14.8,0.76,1.31
1,0.74,4.4
12.7,0.73,2.46
9.5,0.74,4.8
1,0.73,5.45
14.1,0.71,3.37
6.2,0.7,5.15
6,0.69,5.8
0.2,0.68,5.15
1,0.67,3.52
3.4,0.67,2.86
1.9,0.66,2.93
0.7,0.65,2.8
14.3,0.66,3
15.1,0.65,7.6
6.2,0.64,11
1.4,0.64,7.65
2.5,0.63,5.5
5.2,0.63,4.75
4.9,0.62,5.1
7.5,0.62,6.1
9.6,0.61,9.15
0,0.6,9.1
0,0.59,6.1
0,0.59,5.1
0,0.58,4.72
0,0.58,4.52
0.5,0.57,4.34
0,0.57,4.19
0.1,0.57,3.98
0,0.57,3.74
0,0.57,3.6
0.2,0.56,3.48
0.2,0.58,3.36
0,0.58,3.25
0,0.58,3.16
0,0.58,3.06
0,0.57,2.97
0,0.57,2.88
0,0.57,2.79
0,0.56,2.69
0,0.56,2.6
0,0.55,2.51
0,0.53,2.42
0,0.52,2.33
0,0.51,2.23
0,0.51,2.27
1.9,0.5,2.33
0.3,0.5,2.58
2.1,0.49,2.66
0,0.49,2.66
14.1,0.48,2.95
6.2,0.48,6.85
2.1,0.47,6.25
0.2,0.46,4.61
0.3,0.46,4.12
0,0.46,3.25
0,0.46,2.88
0.9,0.46,2.67
0.1,0.46,2.62
0,0.46,2.58
0,0.46,2.54
0,0.46,2.5
0.2,0.46,2.47
0,0.46,2.43
0,0.46,2.4
0.2,0.47,2.36
0,0.47,2.33
0,0.48,2.29
0,0.48,2.26
1.6,0.49,2.22
7.3,0.49,2.66
5.2,0.5,5.1
2.3,0.5,6.65
0,0.54,5.05
0,0.55,3.71
0,0.56,3.21
0,0.56,3.04
0,0.56,2.86
0,0.56,2.8
0,0.56,2.77
0,0.56,2.74
0.3,0.55,2.72
0,0.55,2.69
0,0.49,2.66
0,0.48,2.58
0,0.48,2.47
0,0.47,2.36
4,0.47,2.26
0.2,0.47,2.96
1.1,0.48,2.96
0.1,0.48,2.76
0,0.49,2.65
0,0.49,2.55
0,0.5,2.46
0.1,0.53,2.37
0,0.54,2.28
0,0.55,2.29
0,0.57,2.33
0,0.58,2.3
0,0.59,2.27
0,0.6,2.25
0.3,0.61,2.22
3.5,0.63,2.61
12.2,0.64,4.82
2.2,0.64,6.65
9.1,0.66,8.45
4.5,0.67,6.7
3,0.69,8.05
2.6,0.71,5.95
2.2,0.73,5.45
0.2,0.75,4.76
0,0.77,4.21
0,0.8,3.9
0,0.82,3.82
0,0.87,3.75
0,0.89,3.7
0,0.91,3.68
0,0.94,3.65
0,0.96,3.63
0,0.99,3.6
1.1,1.01,3.57
0.5,1.03,3.55
0,1.03,3.53
0.4,1.05,3.76
0,1.08,3.69
0,1.1,3.39
0,1.12,3.24
0,1.14,3.17
0.7,1.17,3.14
0.3,1.19,3.14
0,1.21,3.14
0,1.23,3.14
1.6,1.25,3.15
0.8,1.26,3.21
3.8,1.28,3.4
2.9,1.31,4.07
2.1,1.33,4.73
0,1.35,4.93
0,1.38,4.25
0,1.41,4.03
0.3,1.43,3.89
0,1.46,3.75
0,1.49,3.61
0.4,1.54,3.47
1.2,1.57,3.35
6.2,1.6,3.71
0.9,1.62,5.1
9.2,1.65,4.72
7.2,1.67,6.1
0.9,1.7,6.85
3.7,1.72,5.2
4.9,1.74,5.45
7.6,1.76,6.65
0.1,1.78,7.75
4.8,1.76,5.8
3.7,1.78,6.1
0.2,1.8,5.4
0,1.83,4.89
0,1.86,4.58
4.1,1.89,4.8
1.5,1.92,6.05
0,1.95,6.1
0,1.99,5.45
0,2.02,4.8
1.6,2.09,4.2
0.9,2.13,4.14
0,2.17,4.14
18.5,2.2,4.31
2.1,2.24,8.45
0.2,2.28,6.8
0.9,2.32,5.3
0,2.35,5
0,2.39,4.76
0,2.43,4.51
0,2.5,4.27
0.3,2.53,4.04
0,2.57,3.81
8.6,2.6,3.7
1.4,2.63,6.9
16.7,2.65,8.7
4.3,2.68,12.1
4.4,2.7,8.9
0,2.72,7.75
3.3,2.73,6.6
0,2.69,6.85
2,2.71,6.8
0,2.72,6.05
0,2.74,5.4
0,2.76,5.15
0,2.79,4.83
1.1,2.81,4.48
0,2.83,4.15
2.1,2.86,3.86
10.2,2.89,4.46
0,2.96,6.75
0,2.99,5
0,3.02,2.99
1.5,3.04,2.32
0,3.06,2.13
0,3.09,1.99
0,3.11,1.74
0,3.13,1.65
0,3.15,1.65
0,3.16,1.66
0,3.14,1.57
0,3.15,1.59
0,3.17,1.49
0.5,3.19,1.43
0,3.2,1.56
0,3.22,1.52
39.3,3.24,2.7
8.7,3.26,9.05
9.1,3.29,4.53
0,3.31,3.14
9,3.33,2.45
11.5,3.43,6.2
0.9,3.45,4.7
0,3.47,2.89
0,3.48,2.22
1.7,3.49,1.98
0,3.5,2.06
0,3.5,2.04
0,3.5,1.91
2.1,3.49,1.68
0,3.49,2.03
0,3.38,1.65
0,3.37,1.53
0,3.36,1.29
0,3.36,1.25
0,3.36,1.21
0,3.36,1.17
0,3.36,1.15
0,3.37,1.15
2.4,3.38,1.15
8.7,3.39,1.28
1.3,3.46,1.6
0,3.47,1.41
0,3.48,1.23
0,3.5,1.17
0,3.51,1.14
0,3.52,1.05
0,3.53,1.05
0,3.55,0.97
15.1,3.56,1.03
26.5,3.57,3.37
0,3.62,3.54
1.4,3.63,1.64
12.8,3.63,1.41
1.2,3.64,2.23
0,3.63,1.82
0,3.63,1.48
0.4,3.62,1.23
1.2,3.61,1.08
0,3.6,1.07
1.6,3.58,1.07
1.1,3.47,1.13
0.2,3.45,1.23
0,3.44,1.08
0,3.43,1.08
0,3.42,0.95
0.6,3.42,0.86
0.5,3.42,0.86
0.2,3.42,0.85
0,3.42,0.82
20.1,3.43,0.91
0,3.58,1.25
0,3.59,0.97
0,3.59,0.87
0,3.59,0.83
0,3.59,0.79
0.7,3.58,0.73
0,3.57,0.73
0,3.55,0.72
0,3.53,0.7
0,3.51,0.69
0,3.48,0.67
0.8,3.34,0.69
1.4,3.31,0.73
0,3.28,0.68
0,3.25,0.63
0.2,3.23,0.67
0,3.21,0.7
2,3.19,0.71
7.1,3.17,0.76
0,3.15,0.79
3,3.13,0.77
0,3.15,0.73
1.9,3.14,0.77
19,3.12,0.76
0,3.11,1.13
0,3.1,0.92
7.5,3.08,0.76
4.3,3.07,0.88
0,3.06,1.04
8.5,3.04,0.94
1.5,3.03,1.12
0.1,3.06,1.07
5.6,3.05,1.03
4.6,3.03,1.24
1.6,3.01,1.42
1,2.98,1.5
1.1,2.95,1.2
2.3,2.92,1.01
2.3,2.89,1.09
13.4,2.86,0.97
5.2,2.82,1.97
0.1,2.78,1.58
8.2,2.67,1.26
2.2,2.63,2.15
1.1,2.59,2.69
0,2.55,1.56
2.1,2.51,1.24
1.8,2.47,1.1
0,2.44,1.13
0,2.4,1.05
0,2.36,1
2.2,2.33,1
0.5,2.31,0.98
0,2.28,0.94
0.4,2.24,0.89
0.6,2.21,0.82
0,2.17,0.78
0,2.14,0.76
0.8,2.1,0.74
0.3,2.07,0.74
0,2.03,0.76
0.1,2,0.78
6.6,1.96,0.82
5.9,1.92,1
2.7,1.88,1.07
13.9,1.85,1.11
11.9,1.81,4.29
0.9,1.78,3.91
9.7,1.74,2.23
0.1,1.71,4.31
1.4,1.67,2.87
0,1.63,2.05
3.8,1.58,1.68
0.9,1.55,1.53
11,1.51,1.67
0,1.48,2.9
0.5,1.45,2.04
0.9,1.42,1.64
0.6,1.39,1.58
0.3,1.36,1.55
1.8,1.34,1.6
1.5,1.31,1.53
3.1,1.32,1.52
0.6,1.29,1.47
0,1.26,1.42
2.6,1.24,1.37
1.9,1.21,1.41
1.5,1.18,1.53
1,1.15,1.41
3.4,1.12,1.32
7.2,1.09,1.47
9.2,1.05,2
7.8,0.97,3.32
4.7,0.93,3.55
9.8,0.9,3.32
3.6,0.87,3.06
4.2,0.85,3.3
1.2,0.82,3.17
8.2,0.8,2.89
2.1,0.78,4.1
0,0.76,3.47
0,0.74,2.7
0,0.73,2.43
0.2,0.74,2.2
3.9,0.73,2.74
10.1,0.71,4.65
0,0.7,5.7
0,0.69,3.72
0,0.68,3.02
0,0.67,2.78
0,0.67,2.66
4.1,0.66,2.62
11.6,0.65,3.62
7.9,0.66,8.4
7,0.65,6.35
0.6,0.64,7.2
4.5,0.64,6
0.7,0.63,6.8
15.9,0.63,5.95
0.3,0.62,9.6
12.9,0.62,8.05
0,0.61,10.7
29.6,0.6,7.95
1.3,0.59,19.1
0,0.59,17
1.5,0.58,12.2
9.9,0.58,11.7
18.6,0.57,19.7
0.1,0.57,26.8
6.8,0.57,14.7
2.9,0.57,13.3
0.3,0.57,12.7
5.7,0.56,12.2
11.9,0.58,12
13.6,0.58,24.1
12.5,0.58,23
4.2,0.58,23.6
0.6,0.57,16.9
21.4,0.57,23.3
16.3,0.57,35
1.5,0.56,32.1
2,0.56,21
0.1,0.55,17.8
3.9,0.53,15.1
0.2,0.52,14.5
0,0.51,13
0,0.51,11.5
2.9,0.5,10.7
1.9,0.5,10.8
10.6,0.49,10
15.2,0.49,22.2
0,0.48,26
3.1,0.48,14.6
0.4,0.47,13.2
0,0.46,12.1
0,0.46,10.9
0,0.46,10.3
0,0.46,9.8
0,0.46,9.2
0,0.46,8.55
0,0.46,8.05
0,0.46,7.35
0,0.46,7.25
